SPAC IPO ,Date of IPO,CUSIP
Seaport Global Acquisition Corp.,11/30/2020,812227205
10X Capital Venture Acquisition Corp.,11/24/2020,88025V206
Forest Road Acquisition Corp.,11/24/2020,34619R201
Spartan Acquisition Corp. II,11/24/2020,846775203
Spring Valley Acquisition Corp.,11/23/2020,
Genesis Park Acquisition Corp.,11/23/2020,
Breeze Holdings Acquisition Corp.,11/23/2020,106762206
Tiga Acquisition Corp.,11/23/2020,G88672129
LifeSci Acquisition II Corp.,11/20/2020,
Omnichannel Acquisition Corp.,11/20/2020,68218L207
Aequi Acquisition Corp.,11/19/2020,00775W201
Cascade Acquisition Corp.,11/19/2020,147151203
Kingswood Global Holdings Inc.,11/19/2020,496861204
Consonance-HFW Acquisition Corp.,11/18/2020,
Investindustrial Acquisition Corp.,11/18/2020,G4771L121
L&F Acquisition Corp.,11/18/2020,G53702125
Jiya Acquisition Corp.,11/18/2020,
Reinvent Technology Partners Z,11/18/2020,
"Population Health Investment Co., Inc.",11/18/2020,G71716123
OTR Acquisition Corp.,11/17/2020,67113Q204
Pine Island Acquisition Corp.,11/16/2020,722615200
Zanite Acquisition Corp.,11/16/2020,98907K202
Dragoneer Growth Opportunities Corp. II,11/16/2020,
Better World Acquisition Corp.,11/12/2020,08772B203
CF Finance Acquisition Corp. III,11/12/2020,12529D207
"dMY Technology Group, Inc. III",11/12/2020,US2332782091
Health Assurance Acquisition Corp.,11/12/2020,42226W208
Northern Star Acquisition Corp.,11/10/2020,665742201
Natural Order Acquisition Corp.,11/10/2020,63889L206
Edoc Acquisition Corp.,11/9/2020,
TS Innovation Acquisitions Corp.,11/9/2020,87284T209
Roman DBDR Tech Acquisition Corp.,11/6/2020,77584N200
New Beginnings Acquisition Corp.,10/29/2020,64222H209
CONX Corp.,10/29/2020,212873202
Bull Horn Holdings Corp,10/29/2020,
Duddell Street Acquisition Corp.,10/28/2020,G28553124
Bluescape Opportunities Acquisition Corp.,10/27/2020,G1195N121
Mallard Acquisition Corp.,10/27/2020,561204207
Atlas Crest Investment Corp.,10/27/2020,049284201
Ajax I,10/27/2020,G1993M119
Lux Health Tech Acquisition Corp.,10/26/2020,55068A209
Eucrates Biomedical Acquisition Corp.,10/23/2020,G3141W114
Acies Acquisition Corp.,10/22/2020,
Altimar Acquisition Corp.,10/22/2020,G03707125
Tekkorp Digital Acquisition Corp.,10/21/2020,G8739H122
Yellowstone Acquisition Corp.,10/21/2020,98566K204
"DPCM Capital, Inc.",10/21/2020,23344P200
Cerberus Telecom Acquisition Corp.,10/21/2020,
BCLS Acquisition Corp.,10/21/2020,
Rice Acquisition Corp.,10/21/2020,762594208
Good Works Acquisition Corp.,10/20/2020,38216X206
"Supernova Partners Acquisition Co., Inc.",10/20/2020,86846V207
Sarissa Capital Acquisition Corp.,10/20/2020,
H.I.G. Acquisition Corp,10/20/2020,G44898115
Lefteris Acquisition Corp.,10/20/2020,52470X208
Decarbonization Plus Acquisition Corp.,10/19/2020,242797207
Horizon Acquisition Corp. II,10/19/2020,G46044122
Helix Acquisition Corp.,10/19/2020,
Bridgetown Holdings Ltd.,10/16/2020,G1355U105
Motion Acquisition Corp.,10/15/2020,61980M206
Spartacus Acquisition Corp.,10/15/2020,84677L208
Turmeric Acquisition Corp.,10/15/2020,G9127T116
5:01 Acquisition Corp.,10/13/2020,
Petra Acquisition Inc.,10/8/2020,716421201
"Landcadia Holdings III, Inc.",10/8/2020,51476H209
Social Capital Hedosophia Holdings Corp. VI,10/8/2020,G8251L121
Social Capital Hedosophia Holdings Corp. V,10/8/2020,
Social Capital Hedosophia Holdings Corp. IV,10/8/2020,G82514129
Montes Archimedes Acquisition Corp.,10/7/2020,612657205
Empower Ltd.,10/7/2020,G3R39W128
TPG Pace Tech Opportunities Corp.,10/6/2020,
TPG Pace Beneficial Finance Corp.,10/6/2020,
NextGen Acquisition Corp.,10/6/2020,G65305115
FirstMark Horizon Acquisition Corp.,10/5/2020,33765Y200
Sports Entertainment Acquisition Corp.,10/2/2020,84918M205
Vy Global Growth,10/2/2020,G9444H126
ION Acquisition Corp. 1 Ltd.,10/1/2020,
Atlantic Avenue Acquisition Corp.,10/1/2020,04906P200
AEA-Bridges Impact Corp.,10/1/2020,G01046120
Apollo Strategic Growth Capital,10/1/2020,G0411R122
Avanti Acquisition Corp.,10/1/2020,G0682V117
VG Acquisition Corp.,10/1/2020,
IG Acquisition Corp,9/30/2020,449534205
Recharge Acquisition Corporation,9/30/2020,756229209
Altimeter Growth Corp.,9/30/2020,
Qell Acquisition Corp.,9/30/2020,
FG New America Acquisition Corp.,9/29/2020,30259V205
Vesper Healthcare Acquisition Corp,9/29/2020,92538T203
Climate Change Crisis Real Impact I Acquisition Corp,9/29/2020,18716C209
Vector Acquisition Corp.,9/24/2020,
FinTech Acquisition Corp. IV,9/24/2020,31810N302
Aspirational Consumer Lifestyle Corp,9/23/2020,
Peridot Acquisition Corp.,9/23/2020,
VPC Impact Acquisition Holdings,9/22/2020,
ArcLight Clean Transition Corp.,9/22/2020,
PMV Consumer Acquisition Corp.,9/21/2020,693486201
Falcon Capital Acquisition Corp.,9/21/2020,30606L207
North Mountain Merger Corp.,9/18/2020,661204206
Alpha Healthcare Acquisition Corp.,9/17/2020,020751202
ACON S2 Acquisition Corp.,9/17/2020,G00748122
Executive Network Partnering Corp.,9/16/2020,30158L209
Reinvent Technology Partners,9/16/2020,
Equity Distribution Acquisition Corp.,9/16/2020,29465E205
Oaktree Acquisition Corp. II,9/16/2020,G6715X129
Sandbridge Acquisition Corp.,9/15/2020,799793203
Software Acquisition Group Inc. II,9/14/2020,83407F200
Broadstone Acquisition Corp.,9/11/2020,G1739V118
"Ribbit LEAP, Inc.",9/11/2020,G7552B121
TWC Tech Holdings II Corp.,9/10/2020,90117G204
Prime Impact Acquisition I,9/10/2020,G61074111
Starboard Value Acquisition Corp.,9/10/2020,85521J208
Tortoise Acquisition Corp. II,9/10/2020,
"NavSight Holdings, Inc.",9/9/2020,639358209
Cohn Robbins Holdings Corp.,9/8/2020,G23726121
"Industrial Tech Acquisitions, Inc.",9/8/2020,456357201
BCTG Acquisition Corp.,9/3/2020,
HighCape Capital Acquisition Corp.,9/3/2020,42984L204
Tailwind Acquisition Corp.,9/3/2020,87403Q201
INSU Acquisition Corp. II,9/2/2020,457821304
"CM Life Sciences, Inc.",9/1/2020,18978W208
CF Finance Acquisition Corp. II,8/27/2020,15725Q203
Burgundy Technology Acquisition Corp.,8/26/2020,G1702T132
Horizon Acquisition Corp.,8/25/2020,
FTAC Olympus Acquisition Corp.,8/25/2020,
Colonnade Acquisition Corp.,8/20/2020,
FAST Acquisition Corp.,8/20/2020,311875207
Forum Merger III Corp.,8/18/2020,349885202
Foley Trasimene Acquisition Corp. II,8/18/2020,344328208
Northern Genesis Acquisition Corp.,8/17/2020,66516T203
one,8/17/2020,
Star Peak Energy Transition Corp.,8/17/2020,855185203
"dMY Technology Group, Inc. II",8/14/2020,233277201
Dragoneer Growth Opportunities Corp.,8/13/2020,
Lionheart Acquisition Corp. II,8/13/2020,53625R203
FS Development Corp.,8/12/2020,
RedBall Acquisition Corp.,8/12/2020,G7417R121
Fortress Value Acquisition Corp. II,8/11/2020,349642207
Vistas Media Acquisition Company Inc.,8/7/2020,92840T206
BowX Acquisition Corp.,8/7/2020,103085205
Holicity Inc.,8/7/2020,435063201
Yucaipa Acquisition Corp.,8/6/2020,G9879L121
Health Sciences Acquisitions Corp. 2,8/6/2020,
ARYA Sciences Acquisition Corp. III,8/6/2020,
Kismet Acquisition One Corp.,8/5/2020,
Gores Holdings V Inc.,8/5/2020,382864205
GO Acquisition Corp.,8/4/2020,362019200
CC Neuberger Principal Holdings II,7/31/2020,G3166T129
NewHold Investment Corp.,7/30/2020,651448201
E.Merge Technology Acquisition Corp.,7/30/2020,26873Y203
Churchill Capital Corp. IV,7/30/2020,171439201
Ascendant Digital Acquisition Corp.,7/28/2020,
ACE Convergence Acquisition Corp.,7/28/2020,
East Resources Acquisition Co.,7/27/2020,274681204
"Pershing Square Tontine Holdings, Ltd.",7/24/2020,71531R208
Property Solutions Acquisition Corp.,7/24/2020,74348Q207
Greencity Acquisition Corp.,7/23/2020,G4086B115
Deerfield Healthcare Technology Acquisitions Corp.,7/21/2020,244413209
Malacca Straits Acquisition Co Ltd,7/17/2020,
D8 Holdings Corp.,7/17/2020,
Artius Acquisition Inc.,7/16/2020,04316G204
PTK Acquisition Corp.,7/15/2020,69375F207
HPX Corp.,7/15/2020,G32219118
Research Alliance Corp. I,7/10/2020,
Capstar Special Purpose Acquisition Corp.,7/7/2020,14070Y200
GS Acquisition Holdings Corp. II,7/2/2020,36258Q204
Panacea Acquisition Corp.,7/1/2020,698102209
Fusion Acquisition Corp.,6/30/2020,36118H204
Kensington Capital Acquisition Corp.,6/30/2020,490073202
Brilliant Acquisition Corp.,6/26/2020,G1643W103
Trebia Acquisition Corp.,6/19/2020,G9027T125
Hudson Executive Investment Corp.,6/11/2020,443761200
Mountain Crest Acquisition Corp,6/9/2020,62401M205
ARYA Sciences Acquisition Corp II,6/4/2020,
Foley Trasimene Acquisition Corp.,5/29/2020,34431F203
Longview Acquisition Corp.,5/26/2020,543195200
B. Riley Principal Merger Corp. II,5/22/2020,05600U205
Novus Capital Corp.,5/19/2020,67012U207
Jaws Acquisition Corp.,5/18/2020,
"GigCapital3, Inc.",5/15/2020,37519D206
Live Oak Acquisition Corp.,5/8/2020,53804F202
Sustainable Opportunities Acquisition Corp.,5/8/2020,
Roth CH Acquisition I Co.,5/7/2020,778675207
Collective Growth Corp.,5/5/2020,19424L200
Fortress Value Acquisition Corp.,5/4/2020,34962V205
Social Capital Hedosophia Holdings Corp. II,4/30/2020,
CC Neuberger Principal Holdings I,4/28/2020,
Chardan Healthcare Acquisition 2 Corp.,4/28/2020,15957T206
Social Capital Hedosophia Holdings Corp. III,4/24/2020,
DFP Healthcare Acquisitions Corp.,3/13/2020,23343Q209
LifeSci Acquisition Corp.,3/10/2020,53228P208
Flying Eagle Acquisition Corp.,3/5/2020,34407Y202
East Stone Acquisition Corp.,2/24/2020,
"dMY Technology Group, Inc.",2/20/2020,233253202
Newborn Acquisition Corp.,2/19/2020,
Churchill Capital Corp. III,2/19/2020,17144C203
Yunhong International,2/18/2020,
Greenrose Acquisition Corp.,2/13/2020,395392202
CITIC Capital Acquisition Corp.,2/10/2020,G21513125
InterPrivate Acquisition Corp.,2/6/2020,46064A202
"Gores Holdings IV, Inc.",1/28/2020,382865202
SCVX Corp.,1/28/2020,G79448109
CIIG Merger Corp.,12/17/2019,12559C202
Healthcare Merger Corp.,12/17/2019,42227L201
LIV Capital Acquisition Corp.,12/13/2019,G5510C124
Alussa Energy Acquisition Corp.,11/29/2019,
PropTech Acquisition Corp.,11/26/2019,74349F200
CHP Merger Corp.,11/26/2019,12558Y205
Amplitude Healthcare Acquisition Corp.,11/22/2019,03212A204
Software Acquisition Group Inc.,11/22/2019,83406B200
GreenVision Acquisition Corp.,11/21/2019,39678G202
Stable Road Acquisition Corp.,11/13/2019,85236Q208
"Juniper Industrial Holdings, Inc.",11/13/2019,48205G205
LGL Systems Acquisition Corp.,11/12/2019,50201G205
Merida Merger Corp. I,11/7/2019,58953M205
Osprey Technology Acquisition Corp.,11/5/2019,68839R401
FinServ Acquisition Corp.,11/5/2019,318085206
Union Acquisition Corp. II,10/22/2019,
Galileo Acquisition Corp.,10/22/2019,
Apex Technology Acquisition Corp.,9/19/2019,03768F201
Experience Investment Corp.,9/17/2019,30217C208
New Providence Acquisition Corp.,9/13/2019,64822P205
"Thunder Bridge Acquisition II, Ltd.",8/13/2019,
Silver Spike Acquisition Corp.,8/12/2019,
Orisun Acquisition Corp.,8/6/2019,68632T208
Netfin Acquisition Corp.,8/2/2019,
Switchback Energy Acquisition Corp.,7/30/2019,87105M201
Fellazo Inc.,7/29/2019,
SC Health Corp.,7/22/2019,
Oaktree Acquisition Corp.,7/22/2019,
Conyers Park II Acquisition Corp.,7/22/2019,212896203
Pivotal Investment Corp. II,7/16/2019,72582K209
Tuscan Holdings Corp. II,7/16/2019,90070A202
Churchill Capital Corp. II,7/1/2019,17143G205
South Mountain Merger Corp.,6/24/2019,838884203
Haymaker Acquisition Corp. II,6/12/2019,42087L200
"GigCapital2, Inc.",6/10/2019,375036209
Proficient Alpha Acquisition Corp.,6/3/2019,74317H204
GX Acquisition Corp.,5/23/2019,36251A206
AGBA Acquisition Ltd.,5/16/2019,
Diamond Eagle Acquisition Corp.,5/14/2019,25258L208
Health Sciences Acquisitions Corp.,5/14/2019,45258J201
"Landcadia Holdings II, Inc.",5/9/2019,51476X204
Act II Global Acquisition Corp.,4/30/2019,
B. Riley Principal Merger Corp.,4/11/2019,05586Y205
Replay Acquisition Corp.,4/8/2019,
8i Enterprises Acquisition Corp.,4/1/2019,
Insurance Acquisition Corp.,3/22/2019,457867307
Trine Acquisition Corp.,3/19/2019,89628U207
Crescent Acquisition Corp.,3/12/2019,22564L204
Tuscan Holdings Corp.,3/7/2019,90069K203
Hennessy Capital Acquisition Corp. IV,3/5/2019,42589C203
DiamondPeak Holdings Corp.,3/4/2019,25280H209
Tortoise Acquisition Corp.,3/4/2019,89154L209
Acamar Partners Acquisition Corp.,2/26/2019,004285201
RMG Acquisition Corp.,2/12/2019,749641205
Monocle Acquisition Corp.,2/11/2019,609754205
Wealthbridge Acquisition Ltd.,2/8/2019,
"Gores Metropoulos, Inc.",2/5/2019,382872208
Pivotal Acquisition Corp.,2/4/2019,72583A200
Andina Acquisition Corp. III,1/31/2019,
Chardan Healthcare Acquisition Corp.,12/18/2018,09090D202
CF Finance Acquisition Corp.,12/17/2018,12528N206
Schultze Special Purpose Acquisition Corp.,12/13/2018,80821R208
FinTech Acquisition Corp. III,11/20/2018,31811A309
AMCI Acquisition Corp.,11/20/2018,00165R200
Boxwood Merger Corp.,11/20/2018,10319T200
Alberton Acquisition Corp.,10/26/2018,
Graf Industrial Corp.,10/18/2018,384278206
DD3 Acquisition Corp.,10/16/2018,23318M209
EdtechX Holdings Acquisition Corp.,10/10/2018,28139A201
ARYA Sciences Acquisition Corp.,10/10/2018,
Collier Creek Holdings,10/10/2018,
ChaSerg Technology Acquisition Corp.,10/10/2018,16166A202
"Gores Holdings III, Inc.",9/11/2018,38286G208
Churchill Capital Corp.,9/11/2018,17142R202
Longevity Acquisition Corp.,8/31/2018,
Megalith Financial Acquisition Corp.,8/28/2018,58518F208
Tenzing Acquisition Corp.,8/23/2018,
TKK Symphony Acquisition Corp.,8/20/2018,
Spartan Energy Acquisition Corp.,8/14/2018,
Forum Merger II Corp.,8/7/2018,34986F202
Tottenham Acquisition I Ltd.,8/6/2018,
Greenland Acquisition Corp.,7/27/2018,
Allegro Merger Corp.,7/6/2018,01749N301
New Frontier Corp.,7/3/2018,
HL Acquisitions Corp.,7/2/2018,
LF Capital Acquisition Corp.,6/22/2018,50200K207
Twelve Seas Investment Co.,6/22/2018,
Thunder Bridge Acquisition Ltd.,6/18/2018,
Far Point Acquisition Corp.,6/14/2018,
GS Acquisition Holdings Corp.,6/12/2018,92537N207
Trident Acquisitions Corp.,6/1/2018,89615T205
VectoIQ Acquisition Corp.,5/18/2018,
Trinity Merger Corp.,5/17/2018,89653L205
Pure Acquisition Corp.,4/17/2018,74621Q205
Tiberius Acquisition Corp.,3/20/2018,88633A206
Opes Acquisition Corp.,3/16/2018,68373P209
Union Acquisition Corp.,3/2/2018,
DFB Healthcare Acquisition Corp.,2/21/2018,23291E208
Leo Holdings Corp.,2/15/2018,
Mudrick Capital Acquisition Corp.,2/12/2018,62477L206
Gordon Pointe Acquisition Corp.,1/30/2018,382788206
Mtech Acquisition Corp.,1/29/2018,55378W206
One Madison Corp.,1/22/2018,
Platinum Eagle Acquisition Corp.,1/17/2018,727653206
Nebula Acquisition Corp.,1/12/2018,629076209
"GigCapital, Inc.",12/8/2017,37518N205
Leisure Acquisition Corp.,12/5/2017,52539T206
Regalwood Global Energy Ltd.,12/5/2017,
Big Rock Acquisition Partners Corp.,11/22/2017,089482202
Legacy Acquisition Corp.,11/17/2017,524643202
Sentinel Energy Services Inc.,11/7/2017,81728P204
CM Seven Star Acquisition Corp.,10/30/2017,
Haymaker Acquisition Corp.,10/27/2017,420870206
Mosaic Acquisition Corp.,10/23/2017,61946M209
Black Ridge Acquisition Corp.,10/10/2017,09216T206
Social Capital Hedosophia Holdings Corp.,9/18/2017,92766K205
Draper Oakwood Technology Acquisition Inc.,9/15/2017,26146L202
I-AM Capital Acquisition Co.,8/22/2017,45074Q207
Capitol Investment Corp. IV,8/21/2017,
Atlantic Acquisition Corp.,8/14/2017,048206205
Industrea Acquisition Corp.,8/1/2017,45579J203
Pensare Acquisition Corp.,8/1/2017,70957E204
Osprey Energy Acquisition Corp.,7/26/2017,688397207
Federal Street Acquisition Corp.,7/24/2017,31421V206
TPG Pace Holdings Corp.,6/30/2017,
Constellation Alpha Capital Corp.,6/23/2017,
Bison Capital Acquisition Corp.,6/23/2017,11374E203
Hennessy Capital Acquisition Corp. III,6/23/2017,42588L204
KBL Merger Corp. IV,6/7/2017,48242A203
Modern Media Acquisition Corp.,5/17/2017,60765P202
National Energy Services Reunited Corp.,5/12/2017,
TPG Pace Energy Holdings Corp.,5/10/2017,872656202
Vantage Energy Acquisition Corp.,4/17/2017,92211L204
Forum Merger Corp.,4/12/2017,34985B202
Kayne Anderson Acquisition Corp.,4/4/2017,48661U201
Silver Run Acquisition Corp. II,3/29/2017,82812A202
Matlin & Partners Acquisition Corp.,3/10/2017,57682V205
FinTech Acquisition Corp. II,1/19/2017,31810G208
"Gores Holdings II, Inc.",1/12/2017,382867208
Hunter Maritime Acquisition Corp.,11/23/2016,
GTY Technology Holdings Inc.,11/1/2016,
Avista Healthcare Public Acquisition Corp.,10/14/2016,G07247110
Saban Capital Acquisition Corp.,9/21/2016,78516C205
"M I Acquisitions, Inc.",9/13/2016,74275G206
Stellar Acquisition III Inc.,8/24/2016,
Conyers Park Acquisition Corp.,7/14/2016,212894208
M III Acquisition Corp.,7/7/2016,55378T203
"Landcadia Holdings, Inc.",6/1/2016,51476W206
CF Corp.,5/25/2016,
KLR Energy Acquisition Corp.,3/16/2016,777385204
Jensyn Acquisition Corp.,3/7/2016,47632B201
Silver Run Acquisition Corp.,2/29/2016,82811P200
,,
