Comapny Name,Date of IPO,Cusip,CCM_Cusip,IPO_age_Cusip
FinTech Acquisition Corp. III,11/20/2018,31811A309,31809H100,31811A309
AMCI Acquisition Corp.,11/20/2018,00165R200,00165R101,00165R200
Alberton Acquisition Corp.,10/26/2018,,G35006108,G35006116
Graf Industrial Corp.,10/18/2018,384278206,384278107,384272209
EdtechX Holdings Acquisition Corp.,10/10/2018,28139A201,28138X103,28138X202
ARYA Sciences Acquisition Corp.,10/10/2018,,G3165V109,G3165V117
Collier Creek Holdings,10/10/2018,,194693107,G2270710
ChaSerg Technology Acquisition Corp.,10/10/2018,16166A202,16166A103,16166A202
"Gores Holdings III, Inc.",9/11/2018,38286G208,38286G109,38286G208
Churchill Capital Corp.,9/11/2018,17142R202,17142R103,17142R202
Longevity Acquisition Corp.,8/31/2018,,G56372132,G5637213
Megalith Financial Acquisition Corp.,8/28/2018,58518F208,58518F109,58518F208
TKK Symphony Acquisition Corp.,8/20/2018,,G88950103,G88950111
Spartan Energy Acquisition Corp.,8/14/2018,,846784106,846784114
Forum Merger II Corp.,8/7/2018,34986F202,34986F103,34986F202
Tottenham Acquisition I Ltd.,8/6/2018,,G8959N106,G8959N10
Greenland Acquisition Corp.,7/27/2018,,G40981139,G4098113
Allegro Merger Corp.,7/6/2018,01749N301,01749N103,01749N301
New Frontier Corp.,7/3/2018,,G6461G106,G6485P116
LF Capital Acquisition Corp.,6/22/2018,50200K207,50200K108,50200K10
Twelve Seas Investment Co.,6/22/2018,,G9145A107,G9145A10
Thunder Bridge Acquisition Ltd.,6/18/2018,,G8857R10,G8857R10
Far Point Acquisition Corp.,6/14/2018,,30734W109,30734W208
GS Acquisition Holdings Corp.,6/12/2018,92537N207,36255F102,36255F201
Trident Acquisitions Corp.,6/1/2018,89615T205,89615T106,89615T205
VectoIQ Acquisition Corp.,5/18/2018,,92243N103,92243N10
Pure Acquisition Corp.,4/17/2018,74621Q205,74621Q106,74621Q205
Tiberius Acquisition Corp.,3/20/2018,88633A206,88633A107,88633A206
DFB Healthcare Acquisition Corp.,2/21/2018,2.33E+212,2.33E+113,2.33E+212
Leo Holdings Corp.,2/15/2018,,G5463L105,G5463L10
Mudrick Capital Acquisition Corp.,2/12/2018,62477L206,624745105,624745204
Mtech Acquisition Corp.,1/29/2018,55378W206,55378W107,55378W10
Nebula Acquisition Corp.,1/12/2018,629076209,629076100,629076209
"GigCapital, Inc.",12/8/2017,37518N205,37518N106,37518N205
Regalwood Global Energy Ltd.,12/5/2017,,G74760102,G74760102
Big Rock Acquisition Partners Corp.,11/22/2017,89482202,89482103,89482202
Legacy Acquisition Corp.,11/17/2017,524643202,524643103,524643202
Sentinel Energy Services Inc.,11/7/2017,81728P204,81728P105,G8062D102
CM Seven Star Acquisition Corp.,10/30/2017,,G2345N102,G2345N102
Mosaic Acquisition Corp.,10/23/2017,61946M209,61946M100,G62848117
Black Ridge Acquisition Corp.,10/10/2017,09216T206,09216T107,09216T206
Social Capital Hedosophia Holdings Corp.,9/18/2017,92766K205,G8250R103,G8251K123
Draper Oakwood Technology Acquisition Inc.,9/15/2017,26146L202,26146L103,26146L202
Capitol Investment Corp. IV,8/21/2017,,G18920101,G18920101
Atlantic Acquisition Corp.,8/14/2017,48206205,48206106,48206205
Osprey Energy Acquisition Corp.,7/26/2017,688397207,688397108,688397207
TPG Pace Holdings Corp.,6/30/2017,,G89827128,G8982712
Constellation Alpha Capital Corp.,6/23/2017,,G2379F108,G2379F108
Bison Capital Acquisition Corp.,6/23/2017,1.14E+207,G1142P104,G1142P104
Hennessy Capital Acquisition Corp. III,6/23/2017,42588L204,42588L105,42588L204
KBL Merger Corp. IV,6/7/2017,48242A203,48242A104,48242A104
Modern Media Acquisition Corp.,5/17/2017,60765P202,60765P103,60765P202
National Energy Services Reunited Corp.,5/12/2017,,G6375R107,G6375R107
TPG Pace Energy Holdings Corp.,5/10/2017,872656202,G89827128,872656202
Vantage Energy Acquisition Corp.,4/17/2017,92211L204,92211L105,92211L204
Forum Merger Corp.,4/12/2017,34985B202,34985B103,34985B202
Silver Run Acquisition Corp. II,3/29/2017,82812A202,02133L109,82812A20
Matlin & Partners Acquisition Corp.,3/10/2017,57682V205,57682V106,57682V106
FinTech Acquisition Corp. II,1/19/2017,31810G208,31810G109,31810G208
"Gores Holdings II, Inc.",1/12/2017,382867208,382867109,382867208
Hunter Maritime Acquisition Corp.,11/23/2016,,Y3799D939,Y37828111
GTY Technology Holdings Inc.,11/1/2016,,362409104,G4182A102
Avista Healthcare Public Acquisition Corp.,10/14/2016,G07247110,G0726L125,G0726L125
Saban Capital Acquisition Corp.,9/21/2016,78516C205,78516C106,78516C205
"M I Acquisitions, Inc.",9/13/2016,74275G206,55304A104,55304A203
Stellar Acquisition III Inc.,8/24/2016,,Y8172W107,Y8172W10
M III Acquisition Corp.,7/7/2016,55378T203,09249V103,55378T203
"Landcadia Holdings, Inc.",6/1/2016,51476W206,51476W107,51476W206
KLR Energy Acquisition Corp.,3/16/2016,777385204,49877M108,49877M207
Jensyn Acquisition Corp.,3/7/2016,47632B201,47632B102,47632B201
Silver Run Acquisition Corp.,2/29/2016,82811P200,82735Q102,82811P200