,SPAC IPO ,Date of IPO,IPO name
0,Welsbach Technology Metals Acquisition Corp.,12/27/2021,Arogo Capital Acq
1,Gardiner Healthcare Acquisitions Corp.,12/21/2021,Larkspur Health Acquisition Co
2,Gardiner Healthcare Acquisitions Corp.,12/21/2021,Sagaliam Acquisition Corp
3,Larkspur Health Acquisition Corp.,12/20/2021,NorthView Acquisition Corp
4,Sagaliam Acquisition Corp.,12/20/2021,NorthView Acquisition Corp
5,NorthView Acquisition Corp.,12/20/2021,NorthView Acquisition Corp
6,Revelstone Capital Acquisition Corp.,12/16/2021,Ault Disruptive Technologies C
7,Revelstone Capital Acquisition Corp.,12/16/2021,CF Acquisition Corp. VII
8,Revelstone Capital Acquisition Corp.,12/16/2021,FTAC Emerald Acquisition Corp
9,Revelstone Capital Acquisition Corp.,12/16/2021,Immix Biopharma Inc
10,Revelstone Capital Acquisition Corp.,12/16/2021,Nuveen Variable Rate Preferred
11,Revelstone Capital Acquisition Corp.,12/16/2021,Spree Acquisition Corp. 1 Ltd
12,AP Acquisition Corp.,12/16/2021,Ault Disruptive Technologies C
13,AP Acquisition Corp.,12/16/2021,CF Acquisition Corp. VII
14,AP Acquisition Corp.,12/16/2021,FTAC Emerald Acquisition Corp
15,AP Acquisition Corp.,12/16/2021,Immix Biopharma Inc
16,AP Acquisition Corp.,12/16/2021,Nuveen Variable Rate Preferred
17,AP Acquisition Corp.,12/16/2021,Spree Acquisition Corp. 1 Ltd
18,CF Acquisition Corp. VII,12/15/2021,Ahren Acquisition Corp.
19,CF Acquisition Corp. VII,12/15/2021,Battery Future Acquisition Cor
20,CF Acquisition Corp. VII,12/15/2021,EVe Mobility Acquisition Corp
21,CF Acquisition Corp. VII,12/15/2021,Genenta Science S.p.A.
22,CF Acquisition Corp. VII,12/15/2021,Investcorp Europe Acquisition
23,CF Acquisition Corp. VII,12/15/2021,Pearl Holdings Acquisition Cor
24,CF Acquisition Corp. VII,12/15/2021,Samsara Inc
25,CF Acquisition Corp. VII,12/15/2021,Swiftmerge Acquisition Corp
26,Ault Disruptive Technologies Corp.,12/15/2021,Ahren Acquisition Corp.
27,Ault Disruptive Technologies Corp.,12/15/2021,Battery Future Acquisition Cor
28,Ault Disruptive Technologies Corp.,12/15/2021,EVe Mobility Acquisition Corp
29,Ault Disruptive Technologies Corp.,12/15/2021,Genenta Science S.p.A.
30,Ault Disruptive Technologies Corp.,12/15/2021,Investcorp Europe Acquisition
31,Ault Disruptive Technologies Corp.,12/15/2021,Pearl Holdings Acquisition Cor
32,Ault Disruptive Technologies Corp.,12/15/2021,Samsara Inc
33,Ault Disruptive Technologies Corp.,12/15/2021,Swiftmerge Acquisition Corp
34,FTAC Emerald Acquisition Corp.,12/15/2021,Ahren Acquisition Corp.
35,FTAC Emerald Acquisition Corp.,12/15/2021,Battery Future Acquisition Cor
36,FTAC Emerald Acquisition Corp.,12/15/2021,EVe Mobility Acquisition Corp
37,FTAC Emerald Acquisition Corp.,12/15/2021,Genenta Science S.p.A.
38,FTAC Emerald Acquisition Corp.,12/15/2021,Investcorp Europe Acquisition
39,FTAC Emerald Acquisition Corp.,12/15/2021,Pearl Holdings Acquisition Cor
40,FTAC Emerald Acquisition Corp.,12/15/2021,Samsara Inc
41,FTAC Emerald Acquisition Corp.,12/15/2021,Swiftmerge Acquisition Corp
42,Spree Acquisition Corp. 1 Ltd,12/15/2021,Ahren Acquisition Corp.
43,Spree Acquisition Corp. 1 Ltd,12/15/2021,Battery Future Acquisition Cor
44,Spree Acquisition Corp. 1 Ltd,12/15/2021,EVe Mobility Acquisition Corp
45,Spree Acquisition Corp. 1 Ltd,12/15/2021,Genenta Science S.p.A.
46,Spree Acquisition Corp. 1 Ltd,12/15/2021,Investcorp Europe Acquisition
47,Spree Acquisition Corp. 1 Ltd,12/15/2021,Pearl Holdings Acquisition Cor
48,Spree Acquisition Corp. 1 Ltd,12/15/2021,Samsara Inc
49,Spree Acquisition Corp. 1 Ltd,12/15/2021,Swiftmerge Acquisition Corp
50,Swiftmerge Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
51,Swiftmerge Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
52,Swiftmerge Acquisition Corp.,12/14/2021,Sidus Space Inc
53,EVe Mobility Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
54,EVe Mobility Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
55,EVe Mobility Acquisition Corp.,12/14/2021,Sidus Space Inc
56,Pearl Holdings Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
57,Pearl Holdings Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
58,Pearl Holdings Acquisition Corp.,12/14/2021,Sidus Space Inc
59,Investcorp Europe Acquisition Corp. I,12/14/2021,Fresh Vine Wine Inc
60,Investcorp Europe Acquisition Corp. I,12/14/2021,Kairous Acquisition Corp Ltd
61,Investcorp Europe Acquisition Corp. I,12/14/2021,Sidus Space Inc
62,Ahren Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
63,Ahren Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
64,Ahren Acquisition Corp.,12/14/2021,Sidus Space Inc
65,Battery Future Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
66,Battery Future Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
67,Battery Future Acquisition Corp.,12/14/2021,Sidus Space Inc
68,Alpha Star Acquisition Corp.,12/13/2021,Alpha Star Acquisition Corp
69,Alpha Star Acquisition Corp.,12/13/2021,BurTech Acquisition Corp.
70,Kairous Acquisition Corp. Ltd.,12/13/2021,Alpha Star Acquisition Corp
71,Kairous Acquisition Corp. Ltd.,12/13/2021,BurTech Acquisition Corp.
72,BurTech Acquisition Corp.,12/10/2021,Athena Technology Acquisition
73,BurTech Acquisition Corp.,12/10/2021,Financial Strategies Acquisiti
74,BurTech Acquisition Corp.,12/10/2021,Forbion European Acquisition C
75,BurTech Acquisition Corp.,12/10/2021,Growth for Good Acquisition Co
76,BurTech Acquisition Corp.,12/10/2021,Healthcare AI Acquisition Corp
77,BurTech Acquisition Corp.,12/10/2021,Power & Digital Infrastructure
78,BurTech Acquisition Corp.,12/10/2021,Southport Acquisition Corp
79,BurTech Acquisition Corp.,12/10/2021,Trajectory Alpha Acquisition C
80,TLGY Acquisition Corp.,11/30/2021,Canna-Global Acquisition Corp
81,Capitalworks Emerging Markets Acquisition Corp.,11/30/2021,Canna-Global Acquisition Corp
82,Roth CH Acquisition V Co.,11/30/2021,Canna-Global Acquisition Corp
83,PROOF Acquisition Corp. I,11/30/2021,Canna-Global Acquisition Corp
84,Beard Energy Transition Acquisition Corp.,11/23/2021,Mana Capital Acquisition Corp
85,Beard Energy Transition Acquisition Corp.,11/23/2021,Vahanna Tech Edge Acq I
86,Everest Consolidator Acquisition Corp.,11/23/2021,Mana Capital Acquisition Corp
87,Everest Consolidator Acquisition Corp.,11/23/2021,Vahanna Tech Edge Acq I
88,Vahanna Tech Edge Acquisition I Corp.,11/23/2021,Mana Capital Acquisition Corp
89,Vahanna Tech Edge Acquisition I Corp.,11/23/2021,Vahanna Tech Edge Acq I
90,8i Acquisition 2 Corp.,11/22/2021,8i Acquisition 2 Corp
91,8i Acquisition 2 Corp.,11/22/2021,Legato Merger Corp II
92,Mana Capital Acquisition Corp.,11/22/2021,8i Acquisition 2 Corp
93,Mana Capital Acquisition Corp.,11/22/2021,Legato Merger Corp II
94,Legato Merger Corp. II,11/22/2021,8i Acquisition 2 Corp
95,Legato Merger Corp. II,11/22/2021,Legato Merger Corp II
96,FTAC Zeus Acquisition Corp.,11/18/2021,Arisz Acquisition Corp.
97,FTAC Zeus Acquisition Corp.,11/18/2021,"Sweetgreen, Inc."
98,FTAC Zeus Acquisition Corp.,11/18/2021,bleuacacia ltd
99,Crescera Capital Acquisition Corp.,11/18/2021,Arisz Acquisition Corp.
100,Crescera Capital Acquisition Corp.,11/18/2021,"Sweetgreen, Inc."
101,Crescera Capital Acquisition Corp.,11/18/2021,bleuacacia ltd
102,InFinT Acquisition Corp.,11/18/2021,Arisz Acquisition Corp.
103,InFinT Acquisition Corp.,11/18/2021,"Sweetgreen, Inc."
104,InFinT Acquisition Corp.,11/18/2021,bleuacacia ltd
105,Infinite Acquisition Corp.,11/18/2021,Arisz Acquisition Corp.
106,Infinite Acquisition Corp.,11/18/2021,"Sweetgreen, Inc."
107,Infinite Acquisition Corp.,11/18/2021,bleuacacia ltd
108,ALSP Orchid Acquisition Corp. I,11/18/2021,Arisz Acquisition Corp.
109,ALSP Orchid Acquisition Corp. I,11/18/2021,"Sweetgreen, Inc."
110,ALSP Orchid Acquisition Corp. I,11/18/2021,bleuacacia ltd
111,bleuacacia Ltd.,11/17/2021,"Braze, Inc."
112,bleuacacia Ltd.,11/17/2021,Iris Energy Ltd
113,bleuacacia Ltd.,11/17/2021,LF Capital Acquisition Corp II
114,bleuacacia Ltd.,11/17/2021,Nabors Energy Transition Corp.
115,bleuacacia Ltd.,11/17/2021,Seaport Global Acquisition II
116,bleuacacia Ltd.,11/17/2021,ShoulderUP Technology Acquisit
117,bleuacacia Ltd.,11/17/2021,Sono Group N.V.
118,bleuacacia Ltd.,11/17/2021,"UserTesting, Inc."
119,Seaport Global Acquisition II Corp.,11/17/2021,"Braze, Inc."
120,Seaport Global Acquisition II Corp.,11/17/2021,Iris Energy Ltd
121,Seaport Global Acquisition II Corp.,11/17/2021,LF Capital Acquisition Corp II
122,Seaport Global Acquisition II Corp.,11/17/2021,Nabors Energy Transition Corp.
123,Seaport Global Acquisition II Corp.,11/17/2021,Seaport Global Acquisition II
124,Seaport Global Acquisition II Corp.,11/17/2021,ShoulderUP Technology Acquisit
125,Seaport Global Acquisition II Corp.,11/17/2021,Sono Group N.V.
126,Seaport Global Acquisition II Corp.,11/17/2021,"UserTesting, Inc."
127,Arisz Acquisition Corp.,11/17/2021,"Braze, Inc."
128,Arisz Acquisition Corp.,11/17/2021,Iris Energy Ltd
129,Arisz Acquisition Corp.,11/17/2021,LF Capital Acquisition Corp II
130,Arisz Acquisition Corp.,11/17/2021,Nabors Energy Transition Corp.
131,Arisz Acquisition Corp.,11/17/2021,Seaport Global Acquisition II
132,Arisz Acquisition Corp.,11/17/2021,ShoulderUP Technology Acquisit
133,Arisz Acquisition Corp.,11/17/2021,Sono Group N.V.
134,Arisz Acquisition Corp.,11/17/2021,"UserTesting, Inc."
135,Nabors Energy Transition Corp.,11/16/2021,Energem Corp
136,ShoulderUp Technology Acquisition Corp.,11/16/2021,Energem Corp
137,LF Capital Acquisition Corp. II,11/16/2021,Energem Corp
138,Integrated Rail & Resources Acquisition Corp.,11/11/2021,Backblaze Inc
139,Integrated Rail & Resources Acquisition Corp.,11/11/2021,HeartBeam Inc
140,Integrated Rail & Resources Acquisition Corp.,11/11/2021,Kidpik Corp
141,Integrated Rail & Resources Acquisition Corp.,11/11/2021,LAMF Global Ventures Corp I
142,Integrated Rail & Resources Acquisition Corp.,11/11/2021,Lulu's Fashion Lounge Holdings
143,Integrated Rail & Resources Acquisition Corp.,11/11/2021,"Tivic Health Systems, Inc."
144,Integrated Rail & Resources Acquisition Corp.,11/11/2021,VMG Consumer Acquisition Corp
145,Integrated Rail & Resources Acquisition Corp.,11/11/2021,Vaxxinity Inc
146,Integrated Rail & Resources Acquisition Corp.,11/11/2021,Weave Communications Inc
147,Integrated Rail & Resources Acquisition Corp.,11/11/2021,"Winc, Inc."
148,Mountain Crest Acquisition Corp. V,11/11/2021,Backblaze Inc
149,Mountain Crest Acquisition Corp. V,11/11/2021,HeartBeam Inc
150,Mountain Crest Acquisition Corp. V,11/11/2021,Kidpik Corp
151,Mountain Crest Acquisition Corp. V,11/11/2021,LAMF Global Ventures Corp I
152,Mountain Crest Acquisition Corp. V,11/11/2021,Lulu's Fashion Lounge Holdings
153,Mountain Crest Acquisition Corp. V,11/11/2021,"Tivic Health Systems, Inc."
154,Mountain Crest Acquisition Corp. V,11/11/2021,VMG Consumer Acquisition Corp
155,Mountain Crest Acquisition Corp. V,11/11/2021,Vaxxinity Inc
156,Mountain Crest Acquisition Corp. V,11/11/2021,Weave Communications Inc
157,Mountain Crest Acquisition Corp. V,11/11/2021,"Winc, Inc."
158,LAMF Global Ventures Corp. I,11/10/2021,Arena Fortify Acquisition Corp
159,LAMF Global Ventures Corp. I,11/10/2021,Ascendant Digital Acquisition
160,LAMF Global Ventures Corp. I,11/10/2021,Blockchain Coinvestors Acquisi
161,LAMF Global Ventures Corp. I,11/10/2021,Bluejay Diagnostics Inc
162,LAMF Global Ventures Corp. I,11/10/2021,CI&T Inc
163,LAMF Global Ventures Corp. I,11/10/2021,Chain Bridge I
164,LAMF Global Ventures Corp. I,11/10/2021,Expensify Inc
165,LAMF Global Ventures Corp. I,11/10/2021,RCF Acquisition Corp
166,LAMF Global Ventures Corp. I,11/10/2021,Rivian Automotive Inc
167,VMG Consumer Acquisition Corp.,11/10/2021,Arena Fortify Acquisition Corp
168,VMG Consumer Acquisition Corp.,11/10/2021,Ascendant Digital Acquisition
169,VMG Consumer Acquisition Corp.,11/10/2021,Blockchain Coinvestors Acquisi
170,VMG Consumer Acquisition Corp.,11/10/2021,Bluejay Diagnostics Inc
171,VMG Consumer Acquisition Corp.,11/10/2021,CI&T Inc
172,VMG Consumer Acquisition Corp.,11/10/2021,Chain Bridge I
173,VMG Consumer Acquisition Corp.,11/10/2021,Expensify Inc
174,VMG Consumer Acquisition Corp.,11/10/2021,RCF Acquisition Corp
175,VMG Consumer Acquisition Corp.,11/10/2021,Rivian Automotive Inc
176,Vision Sensing Acquisition Corp.,10/29/2021,Airsculpt Technologies Inc
177,Vision Sensing Acquisition Corp.,10/29/2021,AltEnergy Acquisition Corp
178,Vision Sensing Acquisition Corp.,10/29/2021,Arbor Rapha Capital Bioholding
179,Vision Sensing Acquisition Corp.,10/29/2021,Aura Biosciences Inc
180,Vision Sensing Acquisition Corp.,10/29/2021,Biofrontera Inc
181,Vision Sensing Acquisition Corp.,10/29/2021,Cactus Acquisition Corp 1 Ltd
182,Vision Sensing Acquisition Corp.,10/29/2021,Entrada Therapeutics Inc
183,Vision Sensing Acquisition Corp.,10/29/2021,Hireright Holdings Corp
184,Vision Sensing Acquisition Corp.,10/29/2021,Project Energy Reimagined Acqu
185,Vision Sensing Acquisition Corp.,10/29/2021,SDCL EDGE Acquisition Corp
186,Vision Sensing Acquisition Corp.,10/29/2021,Sonendo Inc
187,Vision Sensing Acquisition Corp.,10/29/2021,Udemy Inc
188,SDCL Edge Acquisition Corp.,10/28/2021,Anthemis Digital Acquisitions
189,SDCL Edge Acquisition Corp.,10/28/2021,Blackstone Secured Lending Fun
190,SDCL Edge Acquisition Corp.,10/28/2021,Fluence Energy Inc
191,SDCL Edge Acquisition Corp.,10/28/2021,Focus Impact Acquisition Corp
192,SDCL Edge Acquisition Corp.,10/28/2021,GlobalFoundries Inc
193,SDCL Edge Acquisition Corp.,10/28/2021,Perception Capital Corp II
194,SDCL Edge Acquisition Corp.,10/28/2021,Seaport Calibre Materials Acqu
195,SDCL Edge Acquisition Corp.,10/28/2021,Solo Brands Inc
196,Project Energy Reimagined Acquisition Corp.,10/28/2021,Anthemis Digital Acquisitions
197,Project Energy Reimagined Acquisition Corp.,10/28/2021,Blackstone Secured Lending Fun
198,Project Energy Reimagined Acquisition Corp.,10/28/2021,Fluence Energy Inc
199,Project Energy Reimagined Acquisition Corp.,10/28/2021,Focus Impact Acquisition Corp
200,Project Energy Reimagined Acquisition Corp.,10/28/2021,GlobalFoundries Inc
201,Project Energy Reimagined Acquisition Corp.,10/28/2021,Perception Capital Corp II
202,Project Energy Reimagined Acquisition Corp.,10/28/2021,Seaport Calibre Materials Acqu
203,Project Energy Reimagined Acquisition Corp.,10/28/2021,Solo Brands Inc
204,Cactus Acquisition Corp. 1 Ltd.,10/28/2021,Anthemis Digital Acquisitions
205,Cactus Acquisition Corp. 1 Ltd.,10/28/2021,Blackstone Secured Lending Fun
206,Cactus Acquisition Corp. 1 Ltd.,10/28/2021,Fluence Energy Inc
207,Cactus Acquisition Corp. 1 Ltd.,10/28/2021,Focus Impact Acquisition Corp
208,Cactus Acquisition Corp. 1 Ltd.,10/28/2021,GlobalFoundries Inc
209,Cactus Acquisition Corp. 1 Ltd.,10/28/2021,Perception Capital Corp II
210,Cactus Acquisition Corp. 1 Ltd.,10/28/2021,Seaport Calibre Materials Acqu
211,Cactus Acquisition Corp. 1 Ltd.,10/28/2021,Solo Brands Inc
212,AltEnergy Acquisition Corp.,10/28/2021,Anthemis Digital Acquisitions
213,AltEnergy Acquisition Corp.,10/28/2021,Blackstone Secured Lending Fun
214,AltEnergy Acquisition Corp.,10/28/2021,Fluence Energy Inc
215,AltEnergy Acquisition Corp.,10/28/2021,Focus Impact Acquisition Corp
216,AltEnergy Acquisition Corp.,10/28/2021,GlobalFoundries Inc
217,AltEnergy Acquisition Corp.,10/28/2021,Perception Capital Corp II
218,AltEnergy Acquisition Corp.,10/28/2021,Seaport Calibre Materials Acqu
219,AltEnergy Acquisition Corp.,10/28/2021,Solo Brands Inc
220,Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,Anthemis Digital Acquisitions
221,Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,Blackstone Secured Lending Fun
222,Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,Fluence Energy Inc
223,Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,Focus Impact Acquisition Corp
224,Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,GlobalFoundries Inc
225,Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,Perception Capital Corp II
226,Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,Seaport Calibre Materials Acqu
227,Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,Solo Brands Inc
228,Perception Capital Corp. II,10/27/2021,Arteris Inc
229,Perception Capital Corp. II,10/27/2021,Deep Medicine Acquisition Corp
230,Perception Capital Corp. II,10/27/2021,Informatica Inc
231,Perception Capital Corp. II,10/27/2021,Innovative International Acqui
232,Perception Capital Corp. II,10/27/2021,LAVA Medtech Acquisition Corp
233,Perception Capital Corp. II,10/27/2021,MainStay CBRE Global Infrastru
234,Perception Capital Corp. II,10/27/2021,Marpai Inc
235,Perception Capital Corp. II,10/27/2021,OPY Acquisition Corp I
236,Perception Capital Corp. II,10/27/2021,Pyrophyte Acquisition Corp
237,Perception Capital Corp. II,10/27/2021,Rent The Runway Inc
238,Perception Capital Corp. II,10/27/2021,TKB Critical Technologies 1
239,Focus Impact Acquisition Corp.,10/27/2021,Arteris Inc
240,Focus Impact Acquisition Corp.,10/27/2021,Deep Medicine Acquisition Corp
241,Focus Impact Acquisition Corp.,10/27/2021,Informatica Inc
242,Focus Impact Acquisition Corp.,10/27/2021,Innovative International Acqui
243,Focus Impact Acquisition Corp.,10/27/2021,LAVA Medtech Acquisition Corp
244,Focus Impact Acquisition Corp.,10/27/2021,MainStay CBRE Global Infrastru
245,Focus Impact Acquisition Corp.,10/27/2021,Marpai Inc
246,Focus Impact Acquisition Corp.,10/27/2021,OPY Acquisition Corp I
247,Focus Impact Acquisition Corp.,10/27/2021,Pyrophyte Acquisition Corp
248,Focus Impact Acquisition Corp.,10/27/2021,Rent The Runway Inc
249,Focus Impact Acquisition Corp.,10/27/2021,TKB Critical Technologies 1
250,Seaport Calibre Materials Acquisition Corp.,10/27/2021,Arteris Inc
251,Seaport Calibre Materials Acquisition Corp.,10/27/2021,Deep Medicine Acquisition Corp
252,Seaport Calibre Materials Acquisition Corp.,10/27/2021,Informatica Inc
253,Seaport Calibre Materials Acquisition Corp.,10/27/2021,Innovative International Acqui
254,Seaport Calibre Materials Acquisition Corp.,10/27/2021,LAVA Medtech Acquisition Corp
255,Seaport Calibre Materials Acquisition Corp.,10/27/2021,MainStay CBRE Global Infrastru
256,Seaport Calibre Materials Acquisition Corp.,10/27/2021,Marpai Inc
257,Seaport Calibre Materials Acquisition Corp.,10/27/2021,OPY Acquisition Corp I
258,Seaport Calibre Materials Acquisition Corp.,10/27/2021,Pyrophyte Acquisition Corp
